Borough,UHF42,Zip,PoorPhysicalHealthPercent,PoorMentalHealthPercent,HighBPPercent,avgHVI,MedianAge,MedianIncome,PercentCollege,PercentMale,PercentMarried,PercentWhite,PercentBlack,PercentAsian,PercentOtherRace,Percent65plus,ForeignBornPercent,RacialDiversityIndex,MedianHouseholdIncome,PovertyRate,UnemployRate,BAdegreePercent,HomeownershipPercent
BK,205,11220,14.9,15.9,27.0,2.6,37.2,64201.0,25.4,49.6,49.8,22.4,2.5,40.1,35.0,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,205,11232,13.1,16.2,23.5,2.6666666666666665,36.7,87517.0,36.2,55.0,39.6,34.6,7.3,15.0,43.1,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,206,11204,14.3,16.3,28.0,3.75,34.3,67588.0,30.5,48.8,56.1,55.1,1.2,29.2,14.5,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,206,11218,11.3,14.8,25.1,2.8,37.7,95916.0,51.0,50.6,48.1,52.2,9.4,18.7,19.7,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,206,11219,16.3,19.2,28.7,3.2,25.5,55685.0,21.5,51.8,56.5,61.5,1.4,21.2,15.9,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,206,11230,13.2,16.1,27.8,3.3333333333333335,36.0,69522.0,43.7,49.6,49.9,60.3,8.7,16.7,14.3,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,207,11203,13.7,16.7,37.4,4.833333333333333,43.2,68028.0,25.9,45.7,32.5,5.6,79.5,1.8,13.1,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,207,11210,11.8,15.6,31.8,4.166666666666667,39.5,83261.0,39.3,49.7,41.3,30.7,51.0,5.5,12.8,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,207,11225,11.3,16.3,29.8,4.5,38.1,85201.0,48.1,47.4,32.6,28.5,54.1,3.0,14.4,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,207,11226,12.3,16.6,31.5,4.4,36.5,81084.0,36.2,46.7,33.1,15.8,60.5,4.1,19.6,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,208,11234,12.0,15.0,31.4,4.0,43.3,94434.0,38.8,46.2,46.6,36.3,42.8,8.2,12.7,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,208,11236,13.0,16.5,35.7,4.833333333333333,40.4,82813.0,28.5,45.8,36.4,4.9,80.4,2.4,12.3,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,208,11239,16.7,16.8,41.8,4.0,48.8,35675.0,22.1,39.3,26.1,16.1,60.9,3.0,20.0,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,209,11209,11.1,14.0,25.8,2.0,41.9,92656.0,52.9,48.3,48.0,64.9,3.0,13.6,18.5,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,209,11214,13.4,14.8,28.1,3.8,41.1,64286.0,32.4,49.1,52.0,42.1,2.2,37.7,18.0,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
BK,209,11228,12.1,13.8,27.1,2.75,44.1,80737.0,37.1,49.5,52.7,50.9,1.4,36.6,11.1,11.5,37.8,0.72,50500.0,25.1,10.7,21.8,27.1
