,Zip,Borough,avgHVI
174,11040,QN,2.0
174,11426,QN,2.6666666666666665
178,11422,QN,3.3333333333333335
181,11690,QN,4.5
181,11691,QN,4.5
182,11692,QN,5.0
182,11693,QN,4.0
182,11694,QN,4.0
182,11695,QN,4.0
183,11697,QN,3.0
184,10301,SI,2.2
185,10304,SI,2.2
186,10305,SI,2.3333333333333335
187,10310,SI,2.3333333333333335
188,10302,SI,3.0
188,10311,SI,1.5
188,10313,SI,1.5
188,10314,SI,1.5
189,10303,SI,2.3333333333333335
191,10306,SI,1.4
193,10308,SI,1.0
193,10312,SI,1.0
197,10309,SI,1.0
199,10307,SI,1.0
